action,blood glucose,reward,meal,risk,time
[[0.]],410.18875,-145.60799411983643,0.0,60.91660600898009,13:06
[[0.]],412.9479,-147.09686684196504,0.0,61.25550423759406,13:09
[[0.]],416.44556,-149.01116470863974,0.0,61.57359571642459,13:12
[[0.]],420.62387,-151.25188512635384,0.0,61.87026452847175,13:15
[[0.]],424.96005,-153.45332050989708,0.0,62.14516313781524,13:18
[[0.]],428.8288,-155.28088440411858,0.0,62.3981723399546,13:21
[[0.]],431.60577,-156.42373208535082,0.0,62.629364475220406,13:24
[[0.]],432.73648,-156.62076474289466,0.0,62.83897036077184,13:27
[[0.]],432.082,-155.89485130756466,0.0,63.02735003378135,13:30
[[0.]],430.12622,-154.62606730879003,0.0,63.194967181718155,13:33
[[0.]],427.49173,-153.1564298304022,0.0,63.34236701486715,13:36
[[0.]],424.8015,-151.7979871492782,0.0,63.4701572770718,13:39
[[0.]],422.63077,-150.8283750588408,0.0,63.57899207015873,13:42
[[0.]],421.26706,-150.3272972372375,0.0,63.6695581703883,13:45
[[0.]],420.5664,-150.12578367056295,0.0,63.74256353162498,13:48
[[0.]],420.289,-150.08215723116876,0.0,63.79872769336735,13:51
[[0.]],420.19504,-150.0763975805893,0.0,63.838773838279494,13:54
[[0.]],420.06088,-150.00028944118412,0.0,63.86342227096178,13:57
[[0.]],419.7601,-149.81243171832267,0.0,63.873385115911134,14:00
[[0.]],419.31186,-149.55514357945881,31.666666666666668,63.86936420623222,14:03
[[0.]],418.76926,-149.2626017562495,0.0,63.85258035724742,14:06
[[0.]],418.1943,-148.96780222546786,0.0,63.82714914447731,14:09
[[0.]],417.66403,-148.71269000202366,0.0,63.80206826651059,14:12
[[0.]],417.2546,-148.5351504682787,0.0,63.79145374902255,14:15
[[0.]],417.02722,-148.46242295308696,0.0,63.81377616002907,14:18
[[0.]],417.05115,-148.53096093768795,0.0,63.89066707384173,14:21
[[0.]],417.40546,-148.78248789389545,0.0,64.04546139187941,14:24
[[0.]],418.16595,-149.25412103091276,0.0,64.29994902125809,14:27
[[0.]],419.37744,-149.96122197570492,0.0,64.67026340452135,14:30
[[0.]],421.03452,-150.8897096065523,0.0,65.16464220583293,14:33
[[0.]],423.09055,-152.0069447583937,0.0,65.78270668410902,14:36
